project,stories,GFA,height,Yen_sqm
1,2,257.00,6.00,1558.39
2,2,283.00,6.60,1712.19
3,2,300.00,6.60,1834.56
4,2,682.00,6.70,1725.89
5,3,764.00,8.70,1897.11
6,5,3467.00,15.20,1090.21
7,5,2689.00,15.60,1141.96
8,6,2344.00,16.80,842.74
9,6,3329.00,16.80,963.98
10,6,2443.00,16.80,1020.35
11,6,2663.00,16.80,1026.26
12,6,2898.00,16.80,1131.00
13,6,2575.00,18.00,862.60
14,7,1824.00,21.00,1147.15
15,7,6570.00,24.30,865.05
16,7,4947.00,25.40,1719.62
17,10,3503.00,28.00,1288.35
18,11,7664.00,30.80,1167.90
19,11,7052.00,33.80,1151.35
20,13,9480.00,36.40,1248.80
21,14,7882.00,39.20,1479.97
22,15,8757.00,41.60,1820.79
23,18,12392.00,51.80,1611.48
24,18,6481.00,52.70,1149.72
25,18,9434.00,53.20,1443.54
26,18,19848.00,54.00,1622.74
27,23,18240.00,66.70,1318.46
28,25,17250.00,75.00,1641.37
29,25,105390.00,75.00,1764.81
30,27,12492.00,75.60,2206.84
31,28,54088.00,84.90,1630.37
32,28,29093.00,87.00,1744.89
33,29,32530.00,91.30,1859.69
34,34,35000.00,95.70,1785.33
35,30,74989.00,105.00,1808.50
36,37,131349.00,115.30,2134.85
